date,level,sun_duration,cloud_cover,precipitation,snow_accumulation,snow_depth,temperature_avg,temperature_min,temperature_max
2010-01-01,278.99,0.0,97.0,13.8,0.0,0.0,6.9,5.5,7.7
2010-01-02,279.06,0.0,100.0,4.6,0.0,0.0,2.5,0.7,6.7
2010-01-03,279.11,8.0,7.0,7.9,0.0,0.0,-0.5,-2.6,3.4
2010-01-04,279.16,0.8,77.0,0.0,0.0,0.0,-3.3,-6.4,-1.6
2010-01-05,279.23,0.0,100.0,5.8,10.0,10.0,-1.5,-2.3,-0.5
2010-01-06,279.3,0.0,100.0,10.4,9.0,18.0,-0.7,-2.0,0.5
2010-01-07,279.31,0.0,100.0,4.4,6.0,20.0,0.6,-0.6,1.2
2010-01-08,279.29,0.0,100.0,1.7,1.0,16.0,-0.2,-0.5,0.7
2010-01-09,279.3,0.0,100.0,38.6,28.0,44.0,0.7,-0.5,1.5
2010-01-10,279.35,0.0,100.0,7.8,2.0,36.0,0.8,0.4,2.4
2010-01-11,279.37,0.0,100.0,0.0,0.0,30.0,0.5,-0.3,1.1
2010-01-12,279.38,0.0,97.0,1.5,1.0,26.0,0.5,0.0,1.3
2010-01-13,279.39,0.0,100.0,1.2,2.0,23.0,-0.3,-0.6,0.4
2010-01-14,279.42,0.0,100.0,0.0,0.0,23.0,0.0,-1.0,0.4
2010-01-15,279.49,0.0,100.0,0.2,0.0,23.0,0.9,-0.3,1.9
2010-01-16,279.51,0.0,93.0,0.0,0.0,23.0,0.1,-0.9,2.2
2010-01-17,279.48,1.1,80.0,0.0,0.0,22.0,-2.3,-3.8,0.5
2010-01-18,279.39,0.6,77.0,1.9,2.0,24.0,-2.6,-3.9,0.3
2010-01-19,279.36,0.0,100.0,0.0,0.0,23.0,-2.9,-4.4,-1.3
2010-01-20,279.37,4.0,43.0,0.0,0.0,23.0,-4.4,-5.5,-0.4
2010-01-21,279.36,0.0,100.0,0.0,0.0,21.0,-4.0,-7.3,-2.8
2010-01-22,279.4,0.0,100.0,1.6,3.0,23.0,-2.2,-3.1,-0.5
2010-01-23,279.42,0.0,100.0,0.0,0.0,23.0,-2.9,-3.5,-2.1
2010-01-24,279.37,0.0,100.0,0.0,0.0,23.0,-3.4,-4.2,-2.4
2010-01-25,279.29,0.0,100.0,0.0,0.0,22.0,-3.5,-4.0,-2.7
2010-01-26,279.34,0.0,90.0,0.2,0.0,21.0,-4.4,-5.1,-2.4
2010-01-27,279.39,8.0,43.0,0.6,1.0,21.0,-6.5,-10.5,-1.6
2010-01-28,279.36,2.8,67.0,0.0,0.0,20.0,-7.0,-11.0,-2.3
2010-01-29,279.3,0.9,73.0,0.0,0.0,20.0,-4.6,-9.7,-1.7
